date,close
11/23/18,1
11/23/18,4
11/23/18,4
11/23/18,5
11/23/18,42
11/23/18,28885
11/21/18,28909
11/21/18,28938
11/18/18,28956
11/16/18,28948
11/16/18,29008
11/16/18,29029
11/16/18,29029
11/09/18,29029
11/09/18,29316
11/09/18,29316
11/07/18,29317
11/07/18,29264
11/07/18,29326
11/07/18,29345
11/04/18,29349
11/04/18,29381
11/02/18,29390
10/31/18,29394
10/31/18,29399
10/30/18,29426
10/30/18,29426
10/30/18,29432
10/30/18,29432
10/30/18,29429
10/30/18,29453
10/30/18,29452
10/30/18,29452
10/29/18,29454
10/29/18,29486
10/29/18,29490
10/28/18,29517
10/28/18,29518
10/28/18,29544
10/25/18,29572
10/25/18,29582
10/25/18,29582
10/25/18,29582
10/25/18,29582
10/25/18,29592
10/24/18,29625
10/24/18,29626
10/23/18,29638
10/23/18,29645
10/23/18,29673
10/23/18,29672
10/19/18,29685
10/14/18,29696
10/13/18,29711
10/13/18,29741
10/13/18,29742
10/13/18,29759
10/12/18,29781
10/12/18,29807
10/12/18,29799
10/11/18,29812
10/11/18,29851
10/09/18,29873
10/08/18,29874
10/08/18,29874
10/08/18,29920
10/08/18,29938
10/08/18,29952
10/07/18,30000
10/07/18,30005
10/07/18,30005
10/07/18,30005
10/04/18,30019
10/04/18,30020
10/04/18,30037
10/03/18,30058
10/02/18,30088
10/02/18,30169
10/01/18,30214
10/01/18,30231
10/01/18,30231
10/01/18,30232
09/30/18,30251
09/29/18,30251
09/29/18,30250
09/29/18,30289
09/29/18,30297
09/29/18,30312
09/29/18,52038
09/29/18,52044
09/29/18,52069
09/29/18,52080
09/29/18,52084
09/29/18,52101
09/29/18,52118
09/29/18,52135
09/29/18,52152
09/29/18,52324
09/28/18,52326
